nbS : 3
nbO : 3
nbA : 3
P_init 
0.3333 0.3333 0.3333 
P_trans 
0.349 0.18 0.471 
0.295 0.144 0.561 
0.284 0.672 0.044 

0.86 0.093 0.047 
0.272 0.104 0.624 
0.635 0.3 0.065 

0.07 0.472 0.458 
0.443 0.314 0.243 
0.042 0.545 0.413 


P_emis 
0.677 0.193 0.13 
0.166 0.572 0.262 
0.1427 0.2467 0.6106 

0.66 0.165 0.175 
0.13 0.792 0.078 
0.205 0.083 0.712 

0.745 0.143 0.112 
0.133 0.712 0.155 
0.115 0.26 0.625 


Reward 
9.9 9.9 9.9 
5.9 5.9 5.9 
3.7 3.7 3.7 

0.2 0.2 0.2 
7.4 7.4 7.4 
4.9 4.9 4.9 

2.4 2.4 2.4 
5.5 5.5 5.5 
9.8 9.8 9.8 

