nbS : 3
nbO : 3
nbA : 3
P_init 
0.3333 0.3333 0.3333 
P_trans 
0.256 0.693 0.051 
0.35 0.239 0.411 
0.482 0.045 0.473 

0.002 0.273 0.725 
0.244 0.237 0.519 
0.108 0.485 0.407 

0.578 0.063 0.359 
0.227 0.323 0.45 
0.445 0.158 0.397 


P_emis 
0.712 0.066 0.222 
0.089 0.79 0.121 
0.014 0.126 0.86 

0.763 0.041 0.196 
0.081 0.566 0.353 
0.092 0.031 0.877 

0.504 0.061 0.435 
0.08 0.705 0.215 
0.194 0.015 0.791 


Reward 
7.1 7.1 7.1 
8.3 8.3 8.3 
0.9 0.9 0.9 

9.3 9.3 9.3 
8.6 8.6 8.6 
3.9 3.9 3.9 

5.3 5.3 5.3 
7.8 7.8 7.8 
8.8 8.8 8.8 

