nbS : 3
nbO : 3
nbA : 3
P_init 
0.3333 0.3333 0.3333 
P_trans 
0.445 0.222 0.333 
0.234 0.064 0.702 
0.535 0.313 0.152 

0.5 0.173 0.327 
0.549 0.218 0.233 
0.114 0.87 0.016 

0.204 0.553 0.243 
0.061 0.466 0.473 
0.325 0.36 0.315 


P_emis 
0.686 0.182 0.132 
0.138 0.786 0.076 
0.279 0.083 0.638 

0.698 0.131 0.171 
0.283 0.624 0.093 
0.005 0.202 0.793 

0.567 0.234 0.199 
0.243 0.641 0.116 
0.186 0.044 0.77 


Reward 
5.2 5.2 5.2 
0.8 0.8 0.8 
9.0 9.0 9.0 

4.6 4.6 4.6 
6.8 6.8 6.8 
9.3 9.3 9.3 

4.1 4.1 4.1 
6.9 6.9 6.9 
0.8 0.8 0.8 

