nbS : 3
nbO : 3
nbA : 3
P_init 
0.3333 0.3333 0.3333 
P_trans 
0.573 0.346 0.081 
0.357 0.345 0.298 
0.305 0.239 0.456 

0.416 0.441 0.143 
0.37 0.46 0.17 
0.388 0.356 0.256 

0.103 0.39 0.507 
0.169 0.192 0.639 
0.139 0.271 0.59 


P_emis 
0.646 0.199 0.155 
0.106 0.643 0.251 
0.12 0.22 0.66 

0.705 0.116 0.179 
0.0 0.84 0.16 
0.188 0.135 0.677 

0.702 0.211 0.087 
0.304 0.581 0.115 
0.145 0.238 0.617 


Reward 
2.5 2.5 2.5 
5.8 5.8 5.8 
7.2 7.2 7.2 

7.4 7.4 7.4 
3.6 3.6 3.6 
7.0 7.0 7.0 

1.3 1.3 1.3 
6.6 6.6 6.6 
4.9 4.9 4.9 

