nbS : 3
nbO : 2
nbA : 4
P_init 
1.0 0.0 0.0 
P_trans 
0.81 0.18 0.01 
0.81 0.18 0.01 
1.0 0.0 0.0 
1.0 0.0 0.0 

0.0 0.9 0.1 
0.0 0.9 0.1 
1.0 0.0 0.0 
1.0 0.0 0.0 

0.0 0.0 1.0 
0.0 0.0 1.0 
1.0 0.0 0.0 
1.0 0.0 0.0 


P_emis 
1.0 0.0 
1.0 0.0 
1.0 0.0 

1.0 0.0 
0.5 0.5 
0.25 0.75 

1.0 0.0 
1.0 0.0 
1.0 0.0 

1.0 0.0 
1.0 0.0 
1.0 0.0 


Reward 
1.0 0.5 0.25 
0.75 0.25 0.0 
-0.5 -0.5 -0.5 
-2.0 -2.0 -2.0 

1.0 0.5 0.25 
0.75 0.25 0.0 
-1.5 -1.5 -1.5 
-2.0 -2.0 -2.0 

1.0 0.5 0.25 
0.75 0.25 0.0 
-2.5 -2.5 -2.5 
-2.0 -2.0 -2.0 

