nbS : 9
nbO : 3
nbA : 2
P_init 
0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111 
P_trans 
0.64 0.08 0.08 0.12 0.015 0.015 0.04 0.005 0.005 
0.64 0.12 0.04 0.08 0.015 0.005 0.08 0.015 0.005 

0.04 0.6 0.16 0.0075 0.1125 0.03 0.0025 0.0375 0.01 
0.04 0.64 0.12 0.005 0.08 0.015 0.005 0.08 0.015 

0.08 0.04 0.68 0.015 0.0075 0.1275 0.005 0.0025 0.0425 
0.04 0.12 0.64 0.005 0.015 0.08 0.005 0.015 0.08 

0.04 0.005 0.005 0.64 0.08 0.08 0.12 0.015 0.015 
0.04 0.0075 0.0025 0.6 0.1125 0.0375 0.16 0.03 0.01 

0.0025 0.0375 0.01 0.04 0.6 0.16 0.0075 0.1125 0.03 
0.0025 0.04 0.0075 0.0375 0.6 0.1125 0.01 0.16 0.03 

0.005 0.0025 0.0425 0.08 0.04 0.68 0.015 0.0075 0.1275 
0.0025 0.0075 0.04 0.0375 0.1125 0.6 0.01 0.03 0.16 

0.04 0.005 0.005 0.12 0.015 0.015 0.64 0.08 0.08 
0.08 0.015 0.005 0.04 0.0075 0.0025 0.68 0.1275 0.0425 

0.0025 0.0375 0.01 0.0075 0.1125 0.03 0.04 0.6 0.16 
0.005 0.08 0.015 0.0025 0.04 0.0075 0.0425 0.68 0.1275 

0.005 0.0025 0.0425 0.015 0.0075 0.1275 0.08 0.04 0.68 
0.005 0.015 0.08 0.0025 0.0075 0.04 0.0425 0.1275 0.68 


P_emis 
1.0 0.0 0.0 
0.02 0.9 0.08 
0.2 0.05 0.75 
1.0 0.0 0.0 
0.02 0.9 0.08 
0.2 0.05 0.75 
1.0 0.0 0.0 
0.02 0.9 0.08 
0.2 0.05 0.75 

1.0 0.0 0.0 
1.0 0.0 0.0 
1.0 0.0 0.0 
0.02 0.9 0.08 
0.02 0.9 0.08 
0.02 0.9 0.08 
0.2 0.05 0.75 
0.2 0.05 0.75 
0.2 0.05 0.75 


Reward 
3.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 3.0 
3.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 3.0 

10.0 0.0 10.0 0.0 3.0 0.0 10.0 0.0 10.0 
10.0 0.0 10.0 0.0 3.0 0.0 10.0 0.0 10.0 

10.0 0.0 10.0 0.0 3.0 0.0 0.0 0.0 0.0 
10.0 0.0 10.0 0.0 3.0 0.0 0.0 0.0 0.0 

3.0 0.0 3.0 0.0 3.0 0.0 3.0 0.0 3.0 
3.0 0.0 3.0 0.0 3.0 0.0 3.0 0.0 3.0 

0.0 3.0 0.0 3.0 0.0 3.0 0.0 3.0 0.0 
0.0 3.0 0.0 3.0 0.0 3.0 0.0 3.0 0.0 

3.0 10.0 10.0 10.0 3.0 10.0 10.0 10.0 0.0 
3.0 10.0 10.0 10.0 3.0 10.0 10.0 10.0 0.0 

0.0 10.0 3.0 3.0 0.0 3.0 3.0 3.0 0.0 
0.0 10.0 3.0 3.0 0.0 3.0 3.0 3.0 0.0 

10.0 10.0 3.0 10.0 10.0 0.0 3.0 0.0 10.0 
10.0 10.0 3.0 10.0 10.0 0.0 3.0 0.0 10.0 

10.0 3.0 0.0 3.0 10.0 3.0 3.0 3.0 3.0 
10.0 3.0 0.0 3.0 10.0 3.0 3.0 3.0 3.0 

