nbS : 81
nbO : 3
nbA : 4
P_init 
0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 0.0123 
P_trans 
0.4096 0.0512 0.0512 0.0768 0.0096 0.0096 0.0256 0.0032 0.0032 0.0768 0.0096 0.0096 0.0144 0.0018 0.0018 0.0048 0.0006 0.0006 0.0256 0.0032 0.0032 0.0048 0.0006 0.0006 0.0016 0.0002 0.0002 0.0768 0.0096 0.0096 0.0144 0.0018 0.0018 0.0048 0.0006 0.0006 0.0144 0.0018 0.0018 0.0027 0.0003375 0.0003375 0.0009 0.0001125 0.0001125 0.0048 0.0006 0.0006 0.0009 0.0001125 0.0001125 0.0003 3.75e-05 3.75e-05 0.0256 0.0032 0.0032 0.0048 0.0006 0.0006 0.0016 0.0002 0.0002 0.0048 0.0006 0.0006 0.0009 0.0001125 0.0001125 0.0003 3.75e-05 3.75e-05 0.0016 0.0002 0.0002 0.0003 3.75e-05 3.75e-05 0.0001 1.25e-05 1.25e-05 
0.4096 0.0768 0.0256 0.0512 0.0096 0.0032 0.0512 0.0096 0.0032 0.0768 0.0144 0.0048 0.0096 0.0018 0.0006 0.0096 0.0018 0.0006 0.0256 0.0048 0.0016 0.0032 0.0006 0.0002 0.0032 0.0006 0.0002 0.0768 0.0144 0.0048 0.0096 0.0018 0.0006 0.0096 0.0018 0.0006 0.0144 0.0027 0.0009 0.0018 0.0003375 0.0001125 0.0018 0.0003375 0.0001125 0.0048 0.0009 0.0003 0.0006 0.0001125 3.75e-05 0.0006 0.0001125 3.75e-05 0.0256 0.0048 0.0016 0.0032 0.0006 0.0002 0.0032 0.0006 0.0002 0.0048 0.0009 0.0003 0.0006 0.0001125 3.75e-05 0.0006 0.0001125 3.75e-05 0.0016 0.0003 0.0001 0.0002 3.75e-05 1.25e-05 0.0002 3.75e-05 1.25e-05 
0.4096 0.0768 0.0256 0.0768 0.0144 0.0048 0.0256 0.0048 0.0016 0.0512 0.0096 0.0032 0.0096 0.0018 0.0006 0.0032 0.0006 0.0002 0.0512 0.0096 0.0032 0.0096 0.0018 0.0006 0.0032 0.0006 0.0002 0.0768 0.0144 0.0048 0.0144 0.0027 0.0009 0.0048 0.0009 0.0003 0.0096 0.0018 0.0006 0.0018 0.0003375 0.0001125 0.0006 0.0001125 3.75e-05 0.0096 0.0018 0.0006 0.0018 0.0003375 0.0001125 0.0006 0.0001125 3.75e-05 0.0256 0.0048 0.0016 0.0048 0.0009 0.0003 0.0016 0.0003 0.0001 0.0032 0.0006 0.0002 0.0006 0.0001125 3.75e-05 0.0002 3.75e-05 1.25e-05 0.0032 0.0006 0.0002 0.0006 0.0001125 3.75e-05 0.0002 3.75e-05 1.25e-05 
0.4096 0.0768 0.0256 0.0768 0.0144 0.0048 0.0256 0.0048 0.0016 0.0768 0.0144 0.0048 0.0144 0.0027 0.0009 0.0048 0.0009 0.0003 0.0256 0.0048 0.0016 0.0048 0.0009 0.0003 0.0016 0.0003 0.0001 0.0512 0.0096 0.0032 0.0096 0.0018 0.0006 0.0032 0.0006 0.0002 0.0096 0.0018 0.0006 0.0018 0.0003375 0.0001125 0.0006 0.0001125 3.75e-05 0.0032 0.0006 0.0002 0.0006 0.0001125 3.75e-05 0.0002 3.75e-05 1.25e-05 0.0512 0.0096 0.0032 0.0096 0.0018 0.0006 0.0032 0.0006 0.0002 0.0096 0.0018 0.0006 0.0018 0.0003375 0.0001125 0.0006 0.0001125 3.75e-05 0.0032 0.0006 0.0002 0.0006 0.0001125 3.75e-05 0.0002 3.75e-05 1.25e-05 

0.0256 0.384 0.1024 0.0048 0.072 0.0192 0.0016 0.024 0.0064 0.0048 0.072 0.0192 0.0009 0.0135 0.0036 0.0003 0.0045 0.0012 0.0016 0.024 0.0064 0.0003 0.0045 0.0012 0.0001 0.0015 0.0004 0.0048 0.072 0.0192 0.0009 0.0135 0.0036 0.0003 0.0045 0.0012 0.0009 0.0135 0.0036 0.00016875 0.00253125 0.000675 5.625e-05 0.00084375 0.000225 0.0003 0.0045 0.0012 5.625e-05 0.00084375 0.000225 1.875e-05 0.00028125 7.5e-05 0.0016 0.024 0.0064 0.0003 0.0045 0.0012 0.0001 0.0015 0.0004 0.0003 0.0045 0.0012 5.625e-05 0.00084375 0.000225 1.875e-05 0.00028125 7.5e-05 0.0001 0.0015 0.0004 1.875e-05 0.00028125 7.5e-05 6.25e-06 9.375e-05 2.5e-05 
0.0256 0.4096 0.0768 0.0032 0.0512 0.0096 0.0032 0.0512 0.0096 0.0048 0.0768 0.0144 0.0006 0.0096 0.0018 0.0006 0.0096 0.0018 0.0016 0.0256 0.0048 0.0002 0.0032 0.0006 0.0002 0.0032 0.0006 0.0048 0.0768 0.0144 0.0006 0.0096 0.0018 0.0006 0.0096 0.0018 0.0009 0.0144 0.0027 0.0001125 0.0018 0.0003375 0.0001125 0.0018 0.0003375 0.0003 0.0048 0.0009 3.75e-05 0.0006 0.0001125 3.75e-05 0.0006 0.0001125 0.0016 0.0256 0.0048 0.0002 0.0032 0.0006 0.0002 0.0032 0.0006 0.0003 0.0048 0.0009 3.75e-05 0.0006 0.0001125 3.75e-05 0.0006 0.0001125 0.0001 0.0016 0.0003 1.25e-05 0.0002 3.75e-05 1.25e-05 0.0002 3.75e-05 
0.0256 0.4096 0.0768 0.0048 0.0768 0.0144 0.0016 0.0256 0.0048 0.0032 0.0512 0.0096 0.0006 0.0096 0.0018 0.0002 0.0032 0.0006 0.0032 0.0512 0.0096 0.0006 0.0096 0.0018 0.0002 0.0032 0.0006 0.0048 0.0768 0.0144 0.0009 0.0144 0.0027 0.0003 0.0048 0.0009 0.0006 0.0096 0.0018 0.0001125 0.0018 0.0003375 3.75e-05 0.0006 0.0001125 0.0006 0.0096 0.0018 0.0001125 0.0018 0.0003375 3.75e-05 0.0006 0.0001125 0.0016 0.0256 0.0048 0.0003 0.0048 0.0009 0.0001 0.0016 0.0003 0.0002 0.0032 0.0006 3.75e-05 0.0006 0.0001125 1.25e-05 0.0002 3.75e-05 0.0002 0.0032 0.0006 3.75e-05 0.0006 0.0001125 1.25e-05 0.0002 3.75e-05 
