nbS : 5
nbO : 3
nbA : 3
P_init 
0.2 0.2 0.2 0.2 0.2 
P_trans 
0.064 0.343 0.303 0.106 0.184 
0.425 0.117 0.261 0.077 0.12 
0.005 0.226 0.292 0.264 0.213 

0.34 0.087 0.214 0.069 0.29 
0.108 0.298 0.092 0.32 0.182 
0.239 0.126 0.266 0.22 0.149 

0.189 0.2 0.402 0.097 0.112 
0.47 0.033 0.155 0.194 0.148 
0.228 0.016 0.259 0.04 0.457 

0.322 0.003 0.053 0.322 0.3 
0.173 0.184 0.284 0.215 0.144 
0.092 0.019 0.518 0.034 0.337 

0.137 0.292 0.108 0.1 0.363 
0.154 0.136 0.236 0.128 0.346 
0.324 0.272 0.024 0.047 0.333 


P_emis 
0.092 0.403 0.505 
0.31 0.099 0.591 
0.431 0.289 0.28 
0.287 0.304 0.409 
0.382 0.213 0.405 

0.081 0.495 0.424 
0.736 0.024 0.24 
0.521 0.467 0.012 
0.36 0.199 0.441 
0.04 0.447 0.513 

0.226 0.403 0.371 
0.416 0.144 0.44 
0.462 0.319 0.219 
0.26 0.103 0.637 
0.508 0.078 0.414 


Reward 
10.0 10.0 10.0 10.0 10.0 
4.5 4.5 4.5 4.5 4.5 
2.3 2.3 2.3 2.3 2.3 

6.0 6.0 6.0 6.0 6.0 
0.2 0.2 0.2 0.2 0.2 
7.9 7.9 7.9 7.9 7.9 

4.9 4.9 4.9 4.9 4.9 
2.5 2.5 2.5 2.5 2.5 
6.2 6.2 6.2 6.2 6.2 

3.2 3.2 3.2 3.2 3.2 
6.5 6.5 6.5 6.5 6.5 
6.5 6.5 6.5 6.5 6.5 

7.4 7.4 7.4 7.4 7.4 
5.5 5.5 5.5 5.5 5.5 
3.3 3.3 3.3 3.3 3.3 

