nbS : 5
nbO : 5
nbA : 2
P_init 
1.0 0.0 0.0 0.0 0.0 
P_trans 
0.8 0.13 0.02 0.0 0.05 
1.0 0.0 0.0 0.0 0.0 

0.0 0.7 0.17 0.05 0.08 
1.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.75 0.15 0.1 
1.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.6 0.4 
1.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 1.0 
1.0 0.0 0.0 0.0 0.0 


P_emis 
0.8 0.2 0.0 0.0 0.0 
0.2 0.6 0.2 0.0 0.0 
0.05 0.7 0.25 0.0 0.0 
0.0 0.3 0.7 0.0 0.0 
0.0 0.0 1.0 0.0 0.0 

0.8 0.2 0.0 0.0 0.0 
0.2 0.6 0.2 0.0 0.0 
0.05 0.7 0.25 0.0 0.0 
0.0 0.3 0.7 0.0 0.0 
0.0 0.0 1.0 0.0 0.0 


Reward 
0.0 0.0 0.0 0.0 0.0 
-100.0 -100.0 -100.0 -100.0 -100.0 

0.0 0.0 0.0 0.0 0.0 
-100.0 -100.0 -100.0 -100.0 -100.0 

0.0 0.0 0.0 0.0 0.0 
-100.0 -100.0 -100.0 -100.0 -100.0 

0.0 0.0 0.0 0.0 0.0 
-100.0 -100.0 -100.0 -100.0 -100.0 

-1000.0 -1000.0 -1000.0 -1000.0 -1000.0 
-1100.0 -1100.0 -1100.0 -1100.0 -1100.0 

