nbS : 4
nbO : 4
nbA : 4
P_init 
0.25 0.25 0.25 0.25 
P_trans 
0.093 0.337 0.226 0.344 
0.28 0.162 0.029 0.529 
0.408 0.0 0.355 0.237 
0.485 0.374 0.086 0.055 

0.269 0.306 0.178 0.247 
0.205 0.251 0.322 0.222 
0.307 0.245 0.213 0.235 
0.28 0.03 0.649 0.041 

0.255 0.352 0.264 0.129 
0.284 0.295 0.153 0.268 
0.072 0.346 0.419 0.163 
0.047 0.147 0.313 0.493 

0.096 0.171 0.354 0.379 
0.418 0.379 0.181 0.022 
0.244 0.303 0.208 0.245 
0.234 0.42 0.046 0.3 


P_emis 
0.634 0.154 0.124 0.088 
0.156 0.612 0.115 0.117 
0.073 0.167 0.67 0.09 
0.124 0.106 0.156 0.614 

0.675 0.058 0.153 0.114 
0.302 0.549 0.112 0.037 
0.202 0.157 0.567 0.074 
0.231 0.065 0.11 0.594 

0.563 0.119 0.236 0.082 
0.167 0.584 0.211 0.038 
0.155 0.112 0.601 0.132 
0.091 0.146 0.091 0.672 

0.531 0.32 0.002 0.147 
0.097 0.603 0.253 0.047 
0.089 0.136 0.59 0.185 
0.08 0.19 0.166 0.564 


Reward 
4.2 4.2 4.2 4.2 
7.1 7.1 7.1 7.1 
6.2 6.2 6.2 6.2 
6.5 6.5 6.5 6.5 

4.5 4.5 4.5 4.5 
8.9 8.9 8.9 8.9 
2.1 2.1 2.1 2.1 
4.8 4.8 4.8 4.8 

3.8 3.8 3.8 3.8 
5.4 5.4 5.4 5.4 
4.6 4.6 4.6 4.6 
8.4 8.4 8.4 8.4 

2.7 2.7 2.7 2.7 
6.9 6.9 6.9 6.9 
8.9 8.9 8.9 8.9 
8.4 8.4 8.4 8.4 

