nbS : 3
nbO : 3
nbA : 3
P_init 
0.33333 0.33333 0.33333 
P_trans 
0.336 0.436 0.228 
0.339 0.525 0.136 
0.143 0.173 0.684 

0.304 0.272 0.424 
0.435 0.525 0.04 
0.02 0.826 0.154 

0.167 0.578 0.255 
0.374 0.243 0.383 
0.601 0.079 0.32 


P_emis 
0.574 0.227 0.199 
0.135 0.745 0.12 
0.062 0.294 0.644 

0.64 0.18 0.18 
0.252 0.584 0.164 
0.236 0.024 0.74 

0.916 0.054 0.03 
0.101 0.843 0.056 
0.095 0.215 0.69 


Reward 
3.7 3.7 3.7 
5.7 5.7 5.7 
7.4 7.4 7.4 

3.0 3.0 3.0 
0.1 0.1 0.1 
0.4 0.4 0.4 

6.2 6.2 6.2 
1.7 1.7 1.7 
7.0 7.0 7.0 

